Unnamed: 0,x,y
0,28.137,39.359
1,44.642,58.214
2,34.922,42.039
3,31.034,38.283
4,36.42,65.971
5,47.753,32.368
6,17.547,61.428
7,51.042,54.128
8,52.381,58.635
9,48.603,31.904
10,23.617,53.455
11,30.821,74.305
12,56.469,42.934
13,64.156,49.071
14,9.455,63.816
15,43.197,64.478
16,41.954,69.861
17,62.049,54.023
18,41.04,53.347
19,40.688,42.137
20,24.734,47.017
21,37.835,33.077
22,56.628,59.306
23,16.595,60.33
24,42.683,48.364
25,43.329,67.83
26,24.88,57.458
27,37.372,46.555
28,48.192,69.054
29,19.699,49.575
30,40.854,91.584
31,34.305,46.599
32,36.013,51.356
33,44.796,72.13
34,45.786,42.821
35,47.271,55.942
36,26.013,37.555
37,55.127,27.759
38,32.287,40.379
39,57.362,65.564
40,28.764,56.98
41,41.047,48.503
42,39.995,40.606
43,29.849,59.004
44,43.947,32.934
45,31.521,53.658
46,48.722,39.674
47,14.943,33.696
48,23.328,48.188
49,44.432,37.671
50,67.352,54.811
51,43.52,59.83
52,54.82,43.982
53,37.866,68.186
54,39.594,47.838
55,13.42,52.27
56,45.521,55.99
57,34.865,56.707
58,19.558,34.402
59,50.871,27.809
60,12.982,48.314
61,29.269,55.337
62,53.126,43.499
63,38.611,38.85
64,32.584,50.097
65,49.788,42.656
66,34.545,46.34
67,48.248,50.827
68,49.193,45.18
69,28.989,52.022
70,36.704,51.029
71,42.322,59.676
72,15.629,41.191
73,35.465,38.019
74,42.623,58.286
75,31.543,57.318
76,42.428,51.995
77,35.105,83.522
78,70.375,54.299
79,44.908,55.375
80,47.425,71.361
81,25.18,52.321
82,29.643,73.001
83,27.545,40.302
84,34.89,60.649
85,34.622,62.89
86,43.187,50.153
87,39.261,49.775
88,22.929,56.128
89,53.837,51.514
90,23.149,45.192
91,43.734,39.75
92,45.675,56.075
93,35.61,46.359
94,33.641,57.732
95,41.871,38.085
96,23.14,33.463
97,62.363,32.748
98,47.591,43.95
99,50.586,38.033
0,32.56,38.063
1,37.886,38.879
2,25.425,52.037
3,12.14,49.472
4,36.746,45.153
5,37.24,44.687
6,38.224,46.936
7,49.507,52.694
8,13.277,66.889
9,35.784,59.075
10,42.866,40.218
11,53.191,55.04
12,40.482,60.928
13,26.721,57.935
14,32.796,60.819
15,54.06,43.246
16,46.975,42.791
17,28.517,49.804
18,51.614,46.374
19,37.276,35.58
20,45.816,39.162
21,52.123,48.745
22,31.506,60.205
23,48.398,74.333
24,51.094,67.942
25,47.303,41.925
26,41.802,49.425
27,24.903,43.475
28,36.63,48.208
